iter	Passed	Remaining
0	180	89875
1	213	53079
2	244	40505
3	276	34271
4	306	30354
5	338	27879
6	370	26061
7	401	24682
8	431	23553
9	462	22647
10	492	21877
11	522	21251
12	553	20721
13	583	20265
14	614	19860
15	643	19480
16	673	19148
17	705	18879
18	735	18612
19	763	18330
20	792	18066
21	821	17845
22	851	17660
23	880	17460
24	909	17272
25	939	17128
26	970	16993
27	998	16824
28	1027	16693
29	1057	16566
30	1084	16414
31	1115	16310
32	1144	16194
33	1172	16072
34	1201	15964
35	1231	15874
36	1261	15786
37	1290	15693
38	1321	15620
39	1351	15545
40	1381	15471
41	1410	15384
42	1439	15301
43	1467	15210
44	1496	15129
45	1525	15052
46	1554	14979
47	1583	14908
48	1613	14847
49	1641	14775
50	1671	14718
51	1701	14660
52	1730	14597
53	1759	14530
54	1788	14471
55	1817	14410
56	1846	14348
57	1873	14280
58	1902	14216
59	1930	14153
60	1959	14098
61	1986	14033
62	2014	13976
63	2045	13934
64	2075	13891
65	2103	13832
66	2131	13777
67	2157	13708
68	2186	13657
69	2214	13603
70	2242	13551
71	2271	13504
72	2300	13454
73	2325	13389
74	2354	13344
75	2382	13293
76	2412	13254
77	2443	13222
78	2472	13178
79	2498	13115
80	2524	13060
81	2554	13023
82	2584	12983
83	2612	12939
84	2639	12887
85	2669	12852
86	2696	12801
87	2727	12769
88	2753	12717
89	2782	12676
90	2811	12638
91	2840	12598
92	2869	12557
93	2893	12498
94	2922	12459
95	2949	12413
96	2973	12353
97	3002	12315
98	3029	12271
99	3057	12231
100	3080	12169
101	3107	12124
102	3132	12072
103	3159	12032
104	3190	12000
105	3212	11942
106	3239	11896
107	3266	11855
108	3288	11798
109	3316	11759
110	3345	11724
111	3371	11678
112	3397	11635
113	3425	11597
114	3451	11556
115	3478	11515
116	3505	11475
117	3533	11439
118	3559	11395
119	3586	11357
120	3615	11325
121	3644	11291
122	3671	11253
123	3696	11209
124	3723	11171
125	3750	11133
126	3780	11102
127	3803	11052
128	3829	11012
129	3856	10976
130	3883	10937
131	3908	10897
132	3935	10859
133	3962	10822
134	3984	10773
135	4011	10735
136	4036	10696
137	4058	10646
138	4082	10603
139	4111	10572
140	4138	10536
141	4165	10501
142	4187	10454
143	4216	10424
144	4242	10387
145	4269	10353
146	4292	10307
147	4319	10274
148	4347	10240
149	4376	10212
150	4405	10183
151	4432	10147
152	4461	10117
153	4489	10086
154	4515	10051
155	4543	10017
156	4570	9984
157	4600	9958
158	4626	9921
159	4655	9892
160	4680	9855
161	4702	9812
162	4730	9779
163	4758	9748
164	4788	9721
165	4817	9692
166	4839	9649
167	4861	9608
168	4890	9578
169	4918	9547
170	4945	9515
171	4971	9480
172	4998	9448
173	5021	9408
174	5049	9377
175	5078	9348
176	5108	9322
177	5136	9291
178	5164	9261
179	5192	9230
180	5214	9190
181	5248	9170
182	5278	9142
183	5312	9122
184	5360	9127
185	5384	9090
186	5416	9065
187	5445	9037
188	5475	9009
189	5499	8972
190	5530	8947
191	5563	8924
192	5595	8901
193	5624	8871
194	5654	8844
195	5682	8812
196	5706	8776
197	5736	8749
198	5768	8724
199	5796	8694
200	5823	8662
201	5845	8624
202	5874	8594
203	5901	8563
204	5924	8524
205	5954	8497
206	5986	8473
207	6014	8443
208	6043	8415
209	6075	8390
210	6099	8354
211	6129	8326
212	6158	8297
213	6191	8274
214	6220	8245
215	6247	8214
216	6276	8185
217	6306	8157
218	6332	8125
219	6360	8095
220	6388	8065
221	6410	8027
222	6436	7995
223	6465	7966
224	6493	7936
225	6516	7900
226	6544	7871
227	6573	7842
228	6599	7810
229	6622	7774
230	6655	7749
231	6681	7718
232	6710	7689
233	6741	7662
234	6772	7637
235	6804	7611
236	6832	7581
237	6854	7545
238	6881	7514
239	6903	7479
240	6933	7451
241	6960	7421
242	6982	7385
243	7010	7355
244	7038	7325
245	7064	7294
